,id,Time,Type,Notes,mod_Notes,dict_Notes,Mica,Windel,datetime
326,262,21:00:44 04-02-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-04-02 21:00:44
327,263,19:15:08 04-02-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-02 19:15:08
328,266,18:19:34 04-02-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-02 18:19:34
329,264,15:17:29 04-02-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-02 15:17:29
330,258,13:20:45 04-02-2021,Pee,Pipi Töpfchen,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-02 13:20:45
331,257,09:34:48 04-02-2021,Pee,Töpfchen + Windel (gut voll),"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-02 09:34:48
333,261,06:11:15 04-02-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-02 06:11:15
334,255,00:22:04 04-02-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,,2021-04-02 00:22:04
336,253,00:02:05 04-02-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-02 00:02:05
337,252,17:41:48 04-01-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-01 17:41:48
338,251,13:47:44 04-01-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-01 13:47:44
339,250,08:58:20 04-01-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-01 08:58:20
341,248,05:57:46 04-01-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-01 05:57:46
342,247,00:22:08 04-01-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-04-01 00:22:08
343,246,21:04:15 03-31-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-31 21:04:15
344,245,18:00:09 03-31-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-31 18:00:09
345,244,14:40:29 03-31-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-31 14:40:29
347,242,10:59:10 03-31-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-31 10:59:10
348,241,09:43:11 03-31-2021,Pee,Töpfchen und Windel,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-31 09:43:11
350,239,06:36:05 03-31-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-31 06:36:05
351,238,03:00:06 03-31-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-31 03:00:06
352,237,09:48:38 03-30-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-30 09:48:38
353,236,05:41:40 03-30-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-30 05:41:40
354,235,05:30:13 03-30-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-30 05:30:13
356,234,16:25:16 03-29-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-29 16:25:16
357,232,09:30:33 03-29-2021,Pee,Pañal mojado y en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-29 09:30:33
359,230,20:40:17 03-28-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-28 20:40:17
360,229,17:23:17 03-28-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-28 17:23:17
361,228,12:45:24 03-28-2021,Pee,Während nackt Zeit,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-28 12:45:24
364,226,09:40:27 03-28-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-28 09:40:27
365,224,16:31:08 03-27-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,,2021-03-27 16:31:08
366,223,16:20:39 03-27-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-27 16:20:39
367,222,14:20:51 03-27-2021,Pee,Pañal mojado y en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-27 14:20:51
368,220,10:40:32 03-27-2021,Pee,Pañal mojado y en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-27 10:40:32
370,218,05:55:40 03-27-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-27 05:55:40
371,217,04:49:53 03-27-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-27 04:49:53
372,216,01:35:33 03-27-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-27 01:35:33
374,214,17:15:01 03-26-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-26 17:15:01
375,213,16:41:56 03-26-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-26 16:41:56
376,212,12:08:31 03-26-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-26 12:08:31
377,211,08:36:21 03-26-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-26 08:36:21
378,210,06:22:58 03-26-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-26 06:22:58
379,209,04:40:49 03-26-2021,Pee,En la mica y pañal mojado ,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-26 04:40:49
380,208,00:07:09 03-26-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-26 00:07:09
381,206,17:50:35 03-25-2021,Pee,En la mica y en el pañal,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-25 17:50:35
382,207,15:00:17 03-25-2021,Pee,En la mica y pañal,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-25 15:00:17
383,204,12:30:27 03-25-2021,Pee,En la mica y en el pañal,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-25 12:30:27
384,205,09:00:57 03-25-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,,2021-03-25 09:00:57
386,202,06:15:30 03-25-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-25 06:15:30
387,201,03:10:47 03-25-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-25 03:10:47
388,200,10:01:45 03-24-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-24 10:01:45
389,199,09:08:23 03-24-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-24 09:08:23
391,197,05:35:26 03-24-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-24 05:35:26
392,196,02:40:15 03-24-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-24 02:40:15
393,195,16:31:18 03-23-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-23 16:31:18
394,194,14:02:19 03-23-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-23 14:02:19
395,193,11:30:16 03-23-2021,Pee,En la mica después de llegar,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-23 11:30:16
397,192,08:20:40 03-23-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-23 08:20:40
398,190,04:57:25 03-23-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-23 04:57:25
399,189,00:08:10 03-23-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-23 00:08:10
400,188,20:39:34 03-22-2021,Pee,Windel voll und in Töpfchen,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-22 20:39:34
402,185,12:16:16 03-22-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-22 12:16:16
403,184,12:05:57 03-22-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-22 12:05:57
